first_name,last_name,email,gender,id_number,phone_number,reg_number,status,student_type
Leontyne,Merman,lmerman0@google.pl,Female,122268173200145-942,105 756 5362,RIIJVB307499219002643440,Active,Boarder
Daron,Nertney,dnertney1@tuttocitta.it,Agender,582002022316881-087,652 903 5423,BQBHYX735169507367616481,Deactivated,Prepaid
Zebedee,Dunridge,zdunridge2@sun.com,Male,161544757972844-628,405 701 0939,OOIWAJ443398648435946886,Active,Boarder
Lotta,Pedrocchi,lpedrocchi3@mail.ru,Genderfluid,956392296690755-482,222 252 4466,CPFIGJ901336248843991552,Active,Boarder
Filippo,Bowkett,fbowkett4@cisco.com,Male,735998376903826-287,524 875 3792,HWHYUX353858883836425995,Active,One-Time
Tod,Bosher,tbosher5@histats.com,Male,844995479513123-795,849 927 1785,WVTFRJ456780682751988994,Deactivated,One-Time
Shandee,Tipping,stipping6@sun.com,Polygender,937463267050568-133,260 487 6775,YKMSRX288394020541990197,Active,One-Time
Karel,Miguel,kmiguel7@slideshare.net,Male,291449743688277-570,428 547 0117,ILJBHI423605480815356735,Deactivated,One-Time
Arlinda,Aston,aaston8@yellowpages.com,Female,641388480384902-038,887 348 7845,TRIEQZ078997480475630338,Deactivated,Boarder
Jerrome,Mickleborough,jmickleborough9@etsy.com,Male,378827009217357-963,717 916 5359,BTFYBC542651787816656922,Active,Boarder
Gael,Fearnside,gfearnsidea@howstuffworks.com,Male,587580055862292-782,470 948 4708,QCOPJT418081195721127565,Active,Prepaid
Malory,Johananov,mjohananovb@amazon.co.uk,Female,479756425056956-432,949 218 8736,SLAQOD032937728353569407,Deactivated,One-Time
Elinore,Misselbrook,emisselbrookc@europa.eu,Female,747753102732361-956,661 998 4148,VPIBVC922325514073448484,Active,Prepaid
Genevieve,Pigne,gpigned@xinhuanet.com,Female,650695706108350-969,717 174 6975,HGCWOO624470265600876641,Active,One-Time
Vidovic,Whines,vwhinese@xinhuanet.com,Male,556460980409860-766,668 987 5653,OJRZGH311571634911081525,Deactivated,One-Time
Franciska,Dee,fdeef@forbes.com,Female,155631996193289-056,229 740 3927,QJDTOG922667510371141695,Active,Boarder
Ly,Tink,ltinkg@si.edu,Male,068206748572057-500,845 661 7978,DIIUZP801742622572762745,Active,Boarder
Marena,Gribbell,mgribbellh@jalbum.net,Female,151688453295170-128,240 375 2632,XCAUQC306274220833777393,Active,Prepaid
Vidovic,Baudichon,vbaudichoni@uol.com.br,Male,638252177449517-573,889 737 4251,ZUPBAH559394531085095628,Deactivated,Boarder
Ingemar,Gorelli,igorellij@tinypic.com,Male,396780809747309-605,455 841 3649,BQGZYY106223892021974926,Deactivated,Prepaid
Germaine,Dudley,gdudleyk@sakura.ne.jp,Female,129094502247420-018,480 492 0466,KWXPNC056726858007228386,Active,Boarder
Orazio,Mapples,omapplesl@gmpg.org,Male,904068871811924-447,870 526 8472,RADOUY497190608939085653,Active,One-Time
Jefferey,Beardow,jbeardowm@dell.com,Non-binary,087138189745386-412,910 610 9168,ZCIEAL042272638582921422,Active,Prepaid
Lorraine,Cordel,lcordeln@oakley.com,Female,324756144644201-944,440 574 7823,FGDTXK615486234231623496,Active,Prepaid
Ali,Simone,asimoneo@utexas.edu,Female,026686113952615-474,905 654 1094,WXIYXJ616415921910017793,Active,One-Time
Torey,Searchwell,tsearchwellp@gnu.org,Male,705910127978996-906,596 276 0506,NBJNFS904292947180306349,Deactivated,Boarder
Elmo,Shillito,eshillitoq@tuttocitta.it,Male,644594178713619-089,540 587 6167,GBSEWM121547903525736171,Deactivated,Prepaid
Rhodia,Griffoen,rgriffoenr@aboutads.info,Female,180073084127494-757,102 508 0802,XQTHTR818930536369182334,Deactivated,One-Time
Brandais,Lisciandri,blisciandris@vimeo.com,Non-binary,365380121716548-983,780 998 6921,NYWGYL995552273080600677,Deactivated,Boarder
Huntley,Cotherill,hcotherillt@pinterest.com,Male,029639488593043-868,905 857 1702,BTGNOM644186574417279881,Deactivated,Prepaid
Shirlene,Steketee,ssteketeeu@ihg.com,Female,731878205575147-499,986 491 6506,BOALCT348200904120554113,Active,Boarder
Wayland,Caffery,wcafferyv@mapy.cz,Male,355928496546306-410,695 709 3492,CADVWY373947424688440461,Deactivated,Boarder
Franzen,Pardal,fpardalw@issuu.com,Male,920364308838379-291,689 683 6954,GKPOSG450575452277724269,Active,One-Time
Garald,Brash,gbrashx@jigsy.com,Male,621307121701587-636,816 113 5105,UUVTNI967432587594073514,Active,Prepaid
Alonzo,Tippetts,atippettsy@harvard.edu,Male,400180197740997-207,969 852 3777,YUFGHU462477629706683619,Active,Prepaid
Farah,Beggs,fbeggsz@wunderground.com,Agender,283722414551041-540,829 323 8745,AADBNA043660714957344683,Active,Prepaid
Frasquito,Hamman,fhamman10@guardian.co.uk,Male,802416341252248-576,866 850 8551,EXGXZA413183887336869400,Active,Boarder
Shepard,Haddy,shaddy11@huffingtonpost.com,Male,754887136722605-099,203 409 1271,BRCPSZ975783289971544541,Deactivated,Boarder
Salome,Clashe,sclashe12@infoseek.co.jp,Female,114834396948825-443,367 464 8344,ATNLSG285930974836675509,Active,One-Time
